<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,03/07/20,19:35:00,1.1241600,1.1243000,1.1240000,1.1242000,469
EURUSD,1,03/07/20,19:36:00,1.1242300,1.1243700,1.1241000,1.1242700,745
EURUSD,1,03/07/20,19:37:00,1.1242700,1.1243800,1.1241000,1.1242000,463
EURUSD,1,03/07/20,19:38:00,1.1242900,1.1243200,1.1240000,1.1242700,584
EURUSD,1,03/07/20,19:39:00,1.1242500,1.1243400,1.1240700,1.1243200,508
EURUSD,1,03/07/20,19:40:00,1.1242800,1.1243800,1.1241000,1.1242100,337
EURUSD,1,03/07/20,19:41:00,1.1242100,1.1243400,1.1240700,1.1242900,386
EURUSD,1,03/07/20,19:42:00,1.1243300,1.1243700,1.1241000,1.1242800,514
EURUSD,1,03/07/20,19:43:00,1.1243000,1.1243100,1.1240000,1.1242000,745
EURUSD,1,03/07/20,19:44:00,1.1240200,1.1243000,1.1240000,1.1241000,564
EURUSD,1,03/07/20,19:45:00,1.1242100,1.1242600,1.1239700,1.1241300,524
EURUSD,1,03/07/20,19:46:00,1.1241300,1.1243300,1.1240200,1.1242600,619
EURUSD,1,03/07/20,19:47:00,1.1240700,1.1243000,1.1240700,1.1242000,346
EURUSD,1,03/07/20,19:48:00,1.1241900,1.1243700,1.1240700,1.1243200,414
EURUSD,1,03/07/20,19:49:00,1.1243300,1.1244300,1.1241300,1.1243600,697
EURUSD,1,03/07/20,19:50:00,1.1242700,1.1244900,1.1241800,1.1244000,866
EURUSD,1,03/07/20,19:51:00,1.1243900,1.1244700,1.1242000,1.1243700,1069
EURUSD,1,03/07/20,19:52:00,1.1244100,1.1244300,1.1242300,1.1243700,469
EURUSD,1,03/07/20,19:53:00,1.1244000,1.1244700,1.1241800,1.1242900,638
EURUSD,1,03/07/20,19:54:00,1.1242200,1.1244200,1.1240900,1.1243300,712
EURUSD,1,03/07/20,19:55:00,1.1242200,1.1243200,1.1239900,1.1241500,749
EURUSD,1,03/07/20,19:56:00,1.1240900,1.1241600,1.1239000,1.1241200,701
EURUSD,1,03/07/20,19:57:00,1.1241100,1.1241600,1.1238900,1.1240400,861
EURUSD,1,03/07/20,19:58:00,1.1240000,1.1242100,1.1239400,1.1240600,952
EURUSD,1,03/07/20,19:59:00,1.1239900,1.1242400,1.1239000,1.1241900,865
EURUSD,1,03/07/20,20:00:00,1.1242300,1.1243300,1.1239400,1.1241500,1135
EURUSD,1,03/07/20,20:01:00,1.1241600,1.1243200,1.1240000,1.1243000,806
EURUSD,1,03/07/20,20:02:00,1.1242200,1.1243500,1.1242000,1.1242700,542
EURUSD,1,03/07/20,20:03:00,1.1242600,1.1243200,1.1241000,1.1243000,529
EURUSD,1,03/07/20,20:04:00,1.1242200,1.1243200,1.1241000,1.1242600,338
EURUSD,1,03/07/20,20:05:00,1.1243000,1.1243300,1.1241000,1.1243000,351
EURUSD,1,03/07/20,20:06:00,1.1242200,1.1243300,1.1241000,1.1243100,485
EURUSD,1,03/07/20,20:07:00,1.1243000,1.1243300,1.1242000,1.1242700,332
EURUSD,1,03/07/20,20:08:00,1.1243100,1.1243400,1.1242000,1.1242000,368
